TARGET,AGE,GENDER,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,LOAN_NUM_CLOSED,LOAN_NUM_TOTAL,PERSONAL_INCOME
0,49,1,2,1,1,0,1,1,5000.0
0,32,1,3,3,1,0,1,1,12000.0
0,52,1,4,0,1,0,1,2,9000.0
0,39,1,1,1,1,0,1,1,25000.0
0,30,0,0,0,1,0,1,2,12000.0
0,29,0,0,0,1,0,1,2,12000.0
0,35,0,1,1,1,0,2,2,15000.0
0,41,1,0,0,1,0,1,2,6000.0
0,53,0,2,0,1,0,1,1,100000.0
0,43,1,0,0,1,0,1,1,7000.0
0,54,1,2,0,1,0,1,1,19000.0
1,26,0,0,0,1,0,1,2,18000.0
1,62,0,3,0,0,1,1,1,7000.0
0,45,1,3,1,1,0,1,1,12000.0
0,38,1,0,1,1,0,1,2,20000.0
1,41,1,0,0,1,0,1,1,60000.0
0,65,1,2,0,0,1,1,1,10000.0
0,29,1,1,1,1,0,1,1,5200.0
1,34,0,0,0,1,0,1,1,35000.0
0,28,1,0,0,1,0,1,1,15000.0
0,37,1,1,1,1,0,1,1,10000.0
0,42,1,1,1,1,0,1,1,10000.0
0,45,1,3,2,1,0,1,1,14000.0
0,32,1,0,0,1,0,1,1,10000.0
0,33,1,1,1,1,0,1,1,8000.0
0,38,1,1,1,1,0,1,1,13000.0
0,27,1,0,0,1,0,1,1,12500.0
1,31,1,1,1,1,0,1,1,12000.0
0,40,0,1,1,1,0,1,1,20000.0
0,63,1,0,0,0,1,1,1,5000.0
0,40,1,3,2,1,0,1,1,11000.0
0,27,0,1,1,1,0,1,1,15000.0
0,49,1,2,0,1,0,1,1,5000.0
0,29,0,0,0,1,0,1,1,10000.0
0,61,1,0,0,1,0,1,1,13000.0
0,43,1,2,2,1,0,1,1,30000.0
0,38,0,0,0,1,0,2,2,23000.0
0,38,0,4,4,1,0,1,1,15000.0
0,49,0,2,0,1,0,1,1,10000.0
0,44,1,0,0,1,0,1,1,13000.0
0,61,1,2,0,0,1,1,1,5000.0
0,28,1,1,1,1,0,2,2,8000.0
0,31,0,1,1,1,0,1,1,20000.0
0,59,1,0,0,0,1,1,1,4000.0
0,54,1,2,0,1,0,1,2,8000.0
0,48,1,2,0,1,0,1,1,13000.0
0,24,0,0,0,1,0,1,1,50000.0
0,48,1,0,0,1,0,1,1,15000.0
0,43,1,1,1,1,0,1,2,20000.0
0,23,0,1,1,1,0,1,1,18000.0
0,54,1,2,0,1,0,1,1,40000.0
0,37,0,1,1,1,0,1,1,10000.0
0,47,1,0,0,1,0,1,1,20000.0
0,52,1,1,1,0,1,2,2,5700.0
0,24,0,0,0,1,0,2,2,15000.0
0,48,1,0,0,1,0,1,1,11000.0
0,58,0,2,0,0,1,1,1,9000.0
0,34,1,0,0,1,0,1,1,9000.0
0,31,1,0,0,1,0,1,2,12800.0
0,31,0,1,1,1,0,1,1,20000.0
1,35,1,1,1,1,0,1,1,15000.0
0,54,1,2,0,0,1,1,1,10000.0
0,35,1,1,1,1,0,1,1,15000.0
0,61,1,2,0,0,1,1,1,5500.0
0,52,0,0,1,1,0,1,1,7000.0
1,34,0,2,2,1,0,1,1,6000.0
0,44,0,3,3,1,0,1,1,11000.0
0,63,1,2,0,0,1,1,1,4800.0
0,30,0,0,0,1,0,1,1,30000.0
0,27,1,0,0,1,0,1,1,5300.0
0,35,1,0,0,1,0,1,1,50000.0
0,48,1,2,0,1,0,1,1,11000.0
0,29,1,1,1,1,0,1,1,11700.0
0,30,0,1,1,1,0,1,1,8000.0
0,31,1,1,1,1,0,2,2,5000.0
0,51,1,2,0,1,0,1,1,7500.0
0,47,0,2,1,1,0,2,2,18000.0
0,26,0,0,0,1,0,1,1,8000.0
0,44,0,2,2,1,0,1,1,20000.0
1,33,1,1,1,1,0,1,1,10000.0
0,35,1,0,0,1,0,1,1,9000.0
0,51,1,1,0,1,0,1,1,11000.0
0,43,1,1,1,1,0,2,2,15000.0
0,35,0,1,1,1,0,1,1,15000.0
1,27,1,0,0,1,0,1,1,10000.0
0,54,1,0,0,1,0,1,1,15000.0
0,28,1,1,1,1,0,1,1,8000.0
0,53,0,2,0,1,0,1,1,25000.0
0,29,1,1,1,1,0,1,1,11000.0
0,59,1,1,0,1,0,1,1,8500.0
0,56,0,3,0,1,0,1,1,4000.0
0,37,1,3,3,1,1,1,2,15000.0
0,51,0,1,0,1,0,1,1,8000.0
0,63,0,1,0,1,0,1,1,10000.0
0,31,0,0,0,1,0,1,1,18000.0
0,58,0,3,1,1,0,1,1,15000.0
0,48,0,2,0,1,0,1,1,12000.0
0,37,1,1,1,1,0,1,1,7300.0
0,52,1,0,0,1,0,1,1,25000.0
0,52,1,0,0,1,0,1,1,8000.0
0,37,0,0,0,1,0,1,1,12000.0
0,22,0,1,0,1,0,1,1,8000.0
0,36,1,2,2,1,0,1,1,10000.0
0,37,0,1,1,1,0,1,1,14500.0
0,63,0,2,0,0,1,1,1,5000.0
0,26,0,0,0,1,0,1,2,10000.0
1,57,1,0,0,0,1,1,1,3000.0
0,45,1,1,1,1,0,1,1,5000.0
0,22,0,1,2,1,0,1,1,12000.0
0,57,0,0,0,1,1,1,1,30000.0
0,57,0,0,0,0,1,1,1,6000.0
0,39,0,2,2,1,0,1,1,27000.0
0,37,1,2,2,1,0,1,1,9000.0
0,41,0,0,0,1,0,1,1,18000.0
0,34,0,2,2,1,0,2,2,6000.0
0,44,0,1,0,1,0,1,1,15000.0
0,38,0,1,1,1,0,1,1,13500.0
0,40,1,1,1,1,0,1,1,6500.0
0,40,0,2,2,1,0,1,1,14000.0
0,27,1,1,1,1,0,1,1,15000.0
0,29,0,1,1,1,0,1,1,20000.0
0,28,1,1,1,1,0,1,1,10000.0
0,41,1,2,1,1,0,1,1,8600.0
0,39,1,1,1,1,0,1,1,35000.0
0,43,0,0,0,1,0,1,1,15000.0
0,57,1,0,0,0,1,2,2,8000.0
0,50,1,0,0,1,0,1,1,15000.0
0,38,0,4,4,1,0,2,3,38000.0
0,51,1,0,0,1,0,1,1,25000.0
1,54,1,1,1,1,0,1,1,11000.0
0,35,1,1,1,1,0,1,1,15000.0
0,27,1,2,2,1,0,1,1,10000.0
0,48,1,2,0,1,0,1,1,6000.0
0,50,1,0,0,1,0,1,1,12000.0
0,41,1,2,2,1,0,1,1,5000.0
0,42,1,1,1,1,0,2,2,10000.0
0,29,0,1,1,1,0,1,1,6200.0
0,27,0,0,0,1,0,1,1,10000.0
0,40,0,2,2,1,0,1,1,20000.0
0,29,1,0,0,1,0,1,1,15000.0
0,53,1,0,0,1,0,1,1,6000.0
0,46,0,1,0,1,0,1,1,8000.0
0,57,1,2,0,0,1,1,1,7000.0
0,32,1,1,1,1,0,1,1,10500.0
0,56,1,0,0,1,0,1,1,170000.0
0,51,1,0,0,1,1,1,1,15000.0
0,31,1,2,2,1,0,1,1,15000.0
0,51,1,2,0,1,0,1,1,10000.0
0,43,1,1,1,1,0,1,1,8000.0
0,35,1,1,1,1,0,2,2,10000.0
0,38,1,0,0,1,0,1,1,9000.0
0,55,0,0,0,1,0,1,1,20000.0
0,37,1,2,2,1,0,1,1,60000.0
0,38,0,2,2,1,0,1,1,10000.0
0,23,1,2,2,1,0,1,1,8000.0
0,53,0,2,0,1,0,1,1,7000.0
0,40,0,2,0,1,0,1,1,7800.0
0,59,1,3,1,1,1,1,2,18000.0
0,37,1,2,2,1,0,1,1,10000.0
1,27,0,2,2,1,0,2,2,12000.0
0,63,1,0,0,1,0,1,1,25000.0
0,57,1,0,0,1,0,1,1,12000.0
1,42,0,0,0,1,0,2,2,15000.0
0,31,0,2,2,1,0,2,3,10000.0
0,33,1,2,2,1,0,1,1,3300.0
0,31,0,1,2,1,0,1,2,30000.0
